,Chequings_Amount,Duration_Months,Credit_History,Purpose_Of_Loan,Loan_Amount,Savings_Amount,Employment_Status,Installment_Rate,Personal_Status_Sex,Other_Debtor_Guarantor,Resident_Since,Property_Type,Age,Other_Installments,Housing_Payment_Type,Number_Of_Loans,Job,Number_Of_Dependents,Own_Telephone,Foreign_Worker,Credit_Risk
755,less than 0,24,existing credits paid back duly till now,new car,1285,unknown or no savings account,4-7 years,4,female-divorced_married_or_single,none,4,unknown,32,none,rent,1,skilled employee,1,none,yes,2
756,greater than $200,6,critical account or other credits existing not at this bank,new car,1299,less than 100,1-4 years,1,male-single,none,1,real estate,74,none,own,3,unemployed,2,none,no,1
757,greater than $200,15,critical account or other credits existing not at this bank,television,1271,unknown or no savings account,1-4 years,3,male-single,none,4,unknown,39,none,for free,2,skilled employee,1,"yes, registered under the customer name",yes,2
758,no checking account,24,existing credits paid back duly till now,new car,1393,less than 100,1-4 years,2,male-single,guarantor,2,real estate,31,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
759,less than 0,12,critical account or other credits existing not at this bank,new car,691,less than 100,greater than 7 years,4,male-single,none,3,life insurance,35,none,own,2,skilled employee,1,none,yes,2
760,no checking account,15,critical account or other credits existing not at this bank,new car,5045,unknown or no savings account,greater than 7 years,1,female-divorced_married_or_single,none,4,car or other,59,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
761,less than 0,18,critical account or other credits existing not at this bank,furniture,2124,less than 100,1-4 years,4,female-divorced_married_or_single,none,4,real estate,24,none,rent,2,skilled employee,1,none,yes,2
762,less than 0,12,existing credits paid back duly till now,television,2214,less than 100,1-4 years,4,male-single,none,3,life insurance,24,none,own,1,unskilled,1,none,yes,1
763,no checking account,21,critical account or other credits existing not at this bank,new car,12680,unknown or no savings account,greater than 7 years,4,male-single,none,4,unknown,30,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
764,no checking account,24,critical account or other credits existing not at this bank,new car,2463,100-500,4-7 years,4,male-married_widowed,none,3,life insurance,27,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
765,0-200,12,existing credits paid back duly till now,television,1155,less than 100,greater than 7 years,3,male-married_widowed,guarantor,3,real estate,40,bank,own,2,unskilled,1,none,yes,1
766,less than 0,30,existing credits paid back duly till now,furniture,3108,less than 100,less than 1 year,2,male-divorced,none,4,life insurance,31,none,own,1,unskilled,1,none,yes,2
767,no checking account,10,existing credits paid back duly till now,used car,2901,unknown or no savings account,less than 1 year,1,female-divorced_married_or_single,none,4,real estate,31,none,rent,1,skilled employee,1,none,yes,1
768,0-200,12,critical account or other credits existing not at this bank,furniture,3617,less than 100,greater than 7 years,1,male-single,none,4,car or other,28,none,rent,3,skilled employee,1,"yes, registered under the customer name",yes,1
769,no checking account,12,critical account or other credits existing not at this bank,television,1655,less than 100,greater than 7 years,2,male-single,none,4,real estate,63,none,own,2,unskilled,1,"yes, registered under the customer name",yes,1
770,less than 0,24,existing credits paid back duly till now,used car,2812,unknown or no savings account,greater than 7 years,2,female-divorced_married_or_single,none,4,real estate,26,none,rent,1,skilled employee,1,none,yes,1
771,less than 0,36,critical account or other credits existing not at this bank,education,8065,less than 100,1-4 years,3,female-divorced_married_or_single,none,2,unknown,25,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
772,no checking account,21,critical account or other credits existing not at this bank,used car,3275,less than 100,greater than 7 years,1,male-single,none,4,car or other,36,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
773,no checking account,24,critical account or other credits existing not at this bank,television,2223,100-500,greater than 7 years,4,male-single,none,4,life insurance,52,bank,own,2,skilled employee,1,none,yes,1
774,greater than $200,12,critical account or other credits existing not at this bank,new car,1480,500-1000,unemployed,2,male-single,none,4,unknown,66,bank,for free,3,unemployed,1,none,yes,1
775,less than 0,24,existing credits paid back duly till now,new car,1371,unknown or no savings account,1-4 years,4,female-divorced_married_or_single,none,4,real estate,25,none,rent,1,skilled employee,1,none,yes,2
776,no checking account,36,critical account or other credits existing not at this bank,new car,3535,less than 100,4-7 years,4,male-single,none,4,car or other,37,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
777,less than 0,18,existing credits paid back duly till now,television,3509,less than 100,4-7 years,4,female-divorced_married_or_single,guarantor,1,real estate,25,none,own,1,skilled employee,1,none,yes,1
778,no checking account,36,critical account or other credits existing not at this bank,used car,5711,greater than 1000,greater than 7 years,4,male-single,none,2,car or other,38,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
779,0-200,18,existing credits paid back duly till now,repairs,3872,less than 100,unemployed,2,female-divorced_married_or_single,none,4,car or other,67,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
780,0-200,39,critical account or other credits existing not at this bank,television,4933,less than 100,4-7 years,2,male-single,guarantor,2,real estate,25,none,own,2,skilled employee,1,none,yes,2
781,no checking account,24,critical account or other credits existing not at this bank,new car,1940,greater than 1000,greater than 7 years,4,male-single,none,4,real estate,60,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
782,0-200,12,no credits taken or all credits paid back duly,retraining,1410,less than 100,1-4 years,2,male-single,none,2,real estate,31,none,own,1,unskilled,1,"yes, registered under the customer name",yes,1
783,0-200,12,existing credits paid back duly till now,new car,836,100-500,less than 1 year,4,female-divorced_married_or_single,none,2,life insurance,23,bank,own,1,unskilled,1,none,yes,2
784,0-200,20,existing credits paid back duly till now,used car,6468,unknown or no savings account,unemployed,1,male-divorced,none,4,real estate,60,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
785,0-200,18,existing credits paid back duly till now,business,1941,greater than 1000,1-4 years,4,male-single,none,2,life insurance,35,none,own,1,unskilled,1,"yes, registered under the customer name",yes,1
786,no checking account,22,existing credits paid back duly till now,television,2675,500-1000,greater than 7 years,3,male-single,none,4,car or other,40,none,own,1,skilled employee,1,none,yes,1
787,no checking account,48,critical account or other credits existing not at this bank,used car,2751,unknown or no savings account,greater than 7 years,4,male-single,none,3,car or other,38,none,own,2,skilled employee,2,"yes, registered under the customer name",yes,1
788,0-200,48,delay in paying off in the past,education,6224,less than 100,greater than 7 years,4,male-single,none,4,unknown,50,none,for free,1,skilled employee,1,none,yes,2
789,less than 0,40,critical account or other credits existing not at this bank,education,5998,less than 100,1-4 years,4,male-single,none,3,unknown,27,bank,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
790,0-200,21,existing credits paid back duly till now,business,1188,less than 100,greater than 7 years,2,female-divorced_married_or_single,none,4,life insurance,39,none,own,1,skilled employee,2,none,yes,2
791,no checking account,24,existing credits paid back duly till now,used car,6313,unknown or no savings account,greater than 7 years,3,male-single,none,4,car or other,41,none,own,1,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
792,no checking account,6,critical account or other credits existing not at this bank,furniture,1221,unknown or no savings account,1-4 years,1,male-married_widowed,none,2,life insurance,27,none,own,2,skilled employee,1,none,yes,1
793,greater than $200,24,existing credits paid back duly till now,furniture,2892,less than 100,greater than 7 years,3,male-divorced,none,4,unknown,51,none,for free,1,skilled employee,1,none,yes,1
794,no checking account,24,existing credits paid back duly till now,furniture,3062,500-1000,greater than 7 years,4,male-single,none,3,unknown,32,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
795,no checking account,9,existing credits paid back duly till now,furniture,2301,100-500,less than 1 year,2,female-divorced_married_or_single,none,4,life insurance,22,none,rent,1,skilled employee,1,none,yes,1
796,less than 0,18,existing credits paid back duly till now,used car,7511,unknown or no savings account,greater than 7 years,1,male-single,none,4,life insurance,51,none,for free,1,skilled employee,2,"yes, registered under the customer name",yes,2
797,no checking account,12,critical account or other credits existing not at this bank,furniture,1258,less than 100,less than 1 year,2,female-divorced_married_or_single,none,4,life insurance,22,none,rent,2,unskilled,1,none,yes,1
798,no checking account,24,delay in paying off in the past,new car,717,unknown or no savings account,greater than 7 years,4,male-married_widowed,none,4,car or other,54,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
799,0-200,9,existing credits paid back duly till now,new car,1549,unknown or no savings account,less than 1 year,4,male-single,none,2,real estate,35,none,own,1,unemployed,1,none,yes,1
800,no checking account,24,critical account or other credits existing not at this bank,education,1597,less than 100,greater than 7 years,4,male-single,none,4,unknown,54,none,for free,2,skilled employee,2,none,yes,1
801,0-200,18,critical account or other credits existing not at this bank,television,1795,less than 100,greater than 7 years,3,female-divorced_married_or_single,guarantor,4,real estate,48,bank,rent,2,unskilled,1,"yes, registered under the customer name",yes,1
802,less than 0,20,critical account or other credits existing not at this bank,furniture,4272,less than 100,greater than 7 years,1,female-divorced_married_or_single,none,4,life insurance,24,none,own,2,skilled employee,1,none,yes,1
803,no checking account,12,critical account or other credits existing not at this bank,television,976,unknown or no savings account,greater than 7 years,4,male-single,none,4,car or other,35,none,own,2,skilled employee,1,none,yes,1
804,0-200,12,existing credits paid back duly till now,new car,7472,unknown or no savings account,unemployed,1,female-divorced_married_or_single,none,2,real estate,24,none,rent,1,unemployed,1,none,yes,1
805,less than 0,36,existing credits paid back duly till now,new car,9271,less than 100,4-7 years,2,male-single,none,1,car or other,24,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
806,0-200,6,existing credits paid back duly till now,television,590,less than 100,less than 1 year,3,male-married_widowed,none,3,real estate,26,none,own,1,unskilled,1,none,no,1
807,no checking account,12,critical account or other credits existing not at this bank,television,930,unknown or no savings account,greater than 7 years,4,male-single,none,4,real estate,65,none,own,4,skilled employee,1,none,yes,1
808,0-200,42,all credits at this bank paid back duly,used car,9283,less than 100,unemployed,1,male-single,none,2,unknown,55,bank,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
809,0-200,15,no credits taken or all credits paid back duly,new car,1778,less than 100,less than 1 year,2,female-divorced_married_or_single,none,1,real estate,26,none,rent,2,unemployed,1,none,yes,2
810,0-200,8,existing credits paid back duly till now,business,907,less than 100,less than 1 year,3,male-married_widowed,none,2,real estate,26,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
811,0-200,6,existing credits paid back duly till now,television,484,less than 100,4-7 years,3,male-married_widowed,guarantor,3,real estate,28,bank,own,1,unskilled,1,none,yes,1
812,less than 0,36,critical account or other credits existing not at this bank,used car,9629,less than 100,4-7 years,4,male-single,none,4,car or other,24,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,2
813,less than 0,48,existing credits paid back duly till now,domestic appliances,3051,less than 100,1-4 years,3,male-single,none,4,car or other,54,none,own,1,skilled employee,1,none,yes,2
814,less than 0,48,existing credits paid back duly till now,new car,3931,less than 100,4-7 years,4,male-single,none,4,unknown,46,none,for free,1,skilled employee,2,none,yes,2
815,0-200,36,delay in paying off in the past,new car,7432,less than 100,1-4 years,2,female-divorced_married_or_single,none,2,life insurance,54,none,rent,1,skilled employee,1,none,yes,1
816,no checking account,6,existing credits paid back duly till now,domestic appliances,1338,500-1000,1-4 years,1,male-divorced,none,4,real estate,62,none,own,1,skilled employee,1,none,yes,1
817,no checking account,6,critical account or other credits existing not at this bank,television,1554,less than 100,4-7 years,1,female-divorced_married_or_single,none,2,car or other,24,none,rent,2,skilled employee,1,"yes, registered under the customer name",yes,1
818,less than 0,36,existing credits paid back duly till now,others,15857,less than 100,unemployed,2,male-divorced,co-applicant,3,car or other,43,none,own,1,management or self-employed or officer,1,none,yes,1
819,less than 0,18,existing credits paid back duly till now,television,1345,less than 100,1-4 years,4,male-married_widowed,none,3,real estate,26,bank,own,1,skilled employee,1,none,yes,2
820,no checking account,12,existing credits paid back duly till now,new car,1101,less than 100,1-4 years,3,male-married_widowed,none,2,real estate,27,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
821,greater than $200,12,existing credits paid back duly till now,television,3016,less than 100,1-4 years,3,male-married_widowed,none,1,car or other,24,none,own,1,skilled employee,1,none,yes,1
822,less than 0,36,existing credits paid back duly till now,furniture,2712,less than 100,greater than 7 years,2,male-single,none,2,life insurance,41,bank,own,1,skilled employee,2,none,yes,2
823,less than 0,8,critical account or other credits existing not at this bank,new car,731,less than 100,greater than 7 years,4,male-single,none,4,real estate,47,none,own,2,unskilled,1,none,yes,1
824,no checking account,18,critical account or other credits existing not at this bank,furniture,3780,less than 100,less than 1 year,3,male-divorced,none,2,car or other,35,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
825,less than 0,21,critical account or other credits existing not at this bank,new car,1602,less than 100,greater than 7 years,4,male-married_widowed,none,3,car or other,30,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
826,less than 0,18,critical account or other credits existing not at this bank,new car,3966,less than 100,greater than 7 years,1,female-divorced_married_or_single,none,4,real estate,33,bank,rent,3,skilled employee,1,"yes, registered under the customer name",yes,2
827,no checking account,18,no credits taken or all credits paid back duly,business,4165,less than 100,1-4 years,2,male-single,none,2,car or other,36,stores,own,2,skilled employee,2,none,yes,2
828,less than 0,36,existing credits paid back duly till now,used car,8335,unknown or no savings account,greater than 7 years,3,male-single,none,4,unknown,47,none,for free,1,skilled employee,1,none,yes,2
829,0-200,48,delay in paying off in the past,business,6681,unknown or no savings account,1-4 years,4,male-single,none,4,unknown,38,none,for free,1,skilled employee,2,"yes, registered under the customer name",yes,1
830,no checking account,24,delay in paying off in the past,business,2375,500-1000,1-4 years,4,male-single,none,2,car or other,44,none,own,2,skilled employee,2,"yes, registered under the customer name",yes,1
831,less than 0,18,existing credits paid back duly till now,new car,1216,less than 100,less than 1 year,4,female-divorced_married_or_single,none,3,car or other,23,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,2
832,less than 0,45,no credits taken or all credits paid back duly,business,11816,less than 100,greater than 7 years,2,male-single,none,4,car or other,29,none,rent,2,skilled employee,1,none,yes,2
833,0-200,24,existing credits paid back duly till now,television,5084,unknown or no savings account,greater than 7 years,2,female-divorced_married_or_single,none,4,car or other,42,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
834,greater than $200,15,existing credits paid back duly till now,television,2327,less than 100,less than 1 year,2,female-divorced_married_or_single,none,3,real estate,25,none,own,1,unskilled,1,none,yes,2
835,less than 0,12,no credits taken or all credits paid back duly,new car,1082,less than 100,1-4 years,4,male-single,none,4,car or other,48,bank,own,2,skilled employee,1,none,yes,2
836,no checking account,12,existing credits paid back duly till now,television,886,unknown or no savings account,1-4 years,4,female-divorced_married_or_single,none,2,car or other,21,none,own,1,skilled employee,1,none,yes,1
837,no checking account,4,existing credits paid back duly till now,furniture,601,less than 100,less than 1 year,1,female-divorced_married_or_single,none,3,real estate,23,none,rent,1,unskilled,2,none,yes,1
838,less than 0,24,critical account or other credits existing not at this bank,used car,2957,less than 100,greater than 7 years,4,male-single,none,4,life insurance,63,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
839,no checking account,24,critical account or other credits existing not at this bank,television,2611,less than 100,greater than 7 years,4,male-married_widowed,co-applicant,3,real estate,46,none,own,2,skilled employee,1,none,yes,1
840,less than 0,36,existing credits paid back duly till now,furniture,5179,less than 100,4-7 years,4,male-single,none,2,life insurance,29,none,own,1,skilled employee,1,none,yes,2
841,no checking account,21,delay in paying off in the past,used car,2993,less than 100,1-4 years,3,male-single,none,2,real estate,28,stores,own,2,unskilled,1,none,yes,1
842,no checking account,18,existing credits paid back duly till now,repairs,1943,less than 100,less than 1 year,4,female-divorced_married_or_single,none,4,real estate,23,none,own,1,skilled employee,1,none,yes,2
843,no checking account,24,all credits at this bank paid back duly,business,1559,less than 100,4-7 years,4,male-single,none,4,car or other,50,bank,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
844,no checking account,18,existing credits paid back duly till now,furniture,3422,less than 100,greater than 7 years,4,male-single,none,4,life insurance,47,bank,own,3,skilled employee,2,"yes, registered under the customer name",yes,1
845,0-200,21,existing credits paid back duly till now,furniture,3976,unknown or no savings account,4-7 years,2,male-single,none,3,car or other,35,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
846,no checking account,18,existing credits paid back duly till now,new car,6761,unknown or no savings account,1-4 years,2,male-single,none,4,car or other,68,none,rent,2,skilled employee,1,none,yes,2
847,no checking account,24,existing credits paid back duly till now,new car,1249,less than 100,less than 1 year,4,male-married_widowed,none,2,real estate,28,none,own,1,skilled employee,1,none,yes,1
848,less than 0,9,existing credits paid back duly till now,television,1364,less than 100,4-7 years,3,male-single,none,4,real estate,59,none,own,1,skilled employee,1,none,yes,1
849,less than 0,12,existing credits paid back duly till now,television,709,less than 100,greater than 7 years,4,male-single,none,4,real estate,57,stores,own,1,unskilled,1,none,yes,2
850,less than 0,20,critical account or other credits existing not at this bank,new car,2235,less than 100,1-4 years,4,male-married_widowed,guarantor,2,life insurance,33,bank,rent,2,skilled employee,1,none,no,2
851,no checking account,24,critical account or other credits existing not at this bank,used car,4042,unknown or no savings account,4-7 years,3,male-single,none,4,life insurance,43,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
852,no checking account,15,critical account or other credits existing not at this bank,television,1471,less than 100,1-4 years,4,male-single,none,4,unknown,35,none,for free,2,skilled employee,1,"yes, registered under the customer name",yes,1
853,less than 0,18,all credits at this bank paid back duly,new car,1442,less than 100,4-7 years,4,male-single,none,4,unknown,32,none,for free,2,unskilled,2,none,yes,2
854,no checking account,36,delay in paying off in the past,new car,10875,less than 100,greater than 7 years,2,male-single,none,2,car or other,45,none,own,2,skilled employee,2,"yes, registered under the customer name",yes,1
855,no checking account,24,existing credits paid back duly till now,new car,1474,100-500,less than 1 year,4,male-married_widowed,none,3,real estate,33,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
856,no checking account,10,existing credits paid back duly till now,retraining,894,unknown or no savings account,4-7 years,4,female-divorced_married_or_single,none,3,life insurance,40,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
857,no checking account,15,critical account or other credits existing not at this bank,furniture,3343,less than 100,1-4 years,4,male-single,none,2,unknown,28,none,for free,1,skilled employee,1,"yes, registered under the customer name",yes,1
858,less than 0,15,existing credits paid back duly till now,new car,3959,less than 100,1-4 years,3,female-divorced_married_or_single,none,2,life insurance,29,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
859,no checking account,9,existing credits paid back duly till now,new car,3577,100-500,1-4 years,1,male-single,guarantor,2,real estate,26,none,rent,1,skilled employee,2,none,no,1
860,no checking account,24,critical account or other credits existing not at this bank,used car,5804,greater than 1000,1-4 years,4,male-single,none,2,real estate,27,none,own,2,skilled employee,1,none,yes,1
861,no checking account,18,delay in paying off in the past,business,2169,less than 100,1-4 years,4,male-married_widowed,none,2,car or other,28,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
862,less than 0,24,existing credits paid back duly till now,television,2439,less than 100,less than 1 year,4,female-divorced_married_or_single,none,4,real estate,35,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
863,no checking account,27,critical account or other credits existing not at this bank,furniture,4526,greater than 1000,less than 1 year,4,male-single,none,2,real estate,32,stores,own,2,unskilled,2,"yes, registered under the customer name",yes,1
864,no checking account,10,existing credits paid back duly till now,furniture,2210,less than 100,1-4 years,2,male-single,none,2,real estate,25,bank,rent,1,unskilled,1,none,yes,2
865,no checking account,15,existing credits paid back duly till now,furniture,2221,500-1000,1-4 years,2,female-divorced_married_or_single,none,4,car or other,20,none,rent,1,skilled employee,1,none,yes,1
866,less than 0,18,existing credits paid back duly till now,television,2389,less than 100,less than 1 year,4,female-divorced_married_or_single,none,1,car or other,27,stores,own,1,skilled employee,1,none,yes,1
867,no checking account,12,critical account or other credits existing not at this bank,furniture,3331,less than 100,greater than 7 years,2,male-single,none,4,life insurance,42,stores,own,1,skilled employee,1,none,yes,1
868,no checking account,36,existing credits paid back duly till now,business,7409,unknown or no savings account,greater than 7 years,3,male-single,none,2,life insurance,37,none,own,2,skilled employee,1,none,yes,1
869,less than 0,12,existing credits paid back duly till now,furniture,652,less than 100,greater than 7 years,4,female-divorced_married_or_single,none,4,life insurance,24,none,rent,1,skilled employee,1,none,yes,1
870,no checking account,36,delay in paying off in the past,furniture,7678,500-1000,4-7 years,2,female-divorced_married_or_single,none,4,car or other,40,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
871,greater than $200,6,critical account or other credits existing not at this bank,new car,1343,less than 100,greater than 7 years,1,male-single,none,4,real estate,46,none,own,2,skilled employee,2,none,no,1
872,less than 0,24,critical account or other credits existing not at this bank,business,1382,100-500,4-7 years,4,male-single,none,1,real estate,26,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
873,no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown or no savings account,less than 1 year,4,female-divorced_married_or_single,none,1,real estate,24,none,own,1,skilled employee,1,none,yes,1
874,less than 0,12,existing credits paid back duly till now,furniture,3590,less than 100,1-4 years,2,male-single,co-applicant,2,life insurance,29,none,own,1,unskilled,2,none,yes,1
875,0-200,11,critical account or other credits existing not at this bank,new car,1322,greater than 1000,1-4 years,4,female-divorced_married_or_single,none,4,car or other,40,none,own,2,skilled employee,1,none,yes,1
876,less than 0,18,all credits at this bank paid back duly,television,1940,less than 100,less than 1 year,3,male-single,co-applicant,4,unknown,36,bank,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
877,no checking account,36,existing credits paid back duly till now,television,3595,less than 100,greater than 7 years,4,male-single,none,2,car or other,28,none,own,1,skilled employee,1,none,yes,1
878,less than 0,9,existing credits paid back duly till now,new car,1422,less than 100,less than 1 year,3,male-single,none,2,unknown,27,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
879,no checking account,30,critical account or other credits existing not at this bank,television,6742,unknown or no savings account,4-7 years,2,male-single,none,3,life insurance,36,none,own,2,skilled employee,1,none,yes,1
880,no checking account,24,existing credits paid back duly till now,used car,7814,less than 100,4-7 years,3,male-single,none,3,car or other,38,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
881,no checking account,24,existing credits paid back duly till now,used car,9277,unknown or no savings account,1-4 years,2,male-divorced,none,4,unknown,48,none,for free,1,skilled employee,1,"yes, registered under the customer name",yes,1
882,0-200,30,critical account or other credits existing not at this bank,new car,2181,unknown or no savings account,greater than 7 years,4,male-single,none,4,real estate,36,none,own,2,skilled employee,1,none,yes,1
883,no checking account,18,critical account or other credits existing not at this bank,television,1098,less than 100,unemployed,4,female-divorced_married_or_single,none,4,car or other,65,none,own,2,unemployed,1,none,yes,1
884,0-200,24,existing credits paid back duly till now,furniture,4057,less than 100,4-7 years,3,male-divorced,none,3,car or other,43,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
885,less than 0,12,existing credits paid back duly till now,education,795,less than 100,less than 1 year,4,female-divorced_married_or_single,none,4,life insurance,53,none,own,1,skilled employee,1,none,yes,2
886,0-200,24,critical account or other credits existing not at this bank,business,2825,unknown or no savings account,4-7 years,4,male-single,none,3,unknown,34,none,own,2,skilled employee,2,"yes, registered under the customer name",yes,1
887,0-200,48,existing credits paid back duly till now,business,15672,less than 100,1-4 years,2,male-single,none,2,car or other,23,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
888,no checking account,36,critical account or other credits existing not at this bank,new car,6614,less than 100,greater than 7 years,4,male-single,none,4,car or other,34,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
889,no checking account,28,all credits at this bank paid back duly,used car,7824,unknown or no savings account,less than 1 year,3,male-single,guarantor,4,real estate,40,bank,rent,2,skilled employee,2,"yes, registered under the customer name",yes,1
890,less than 0,27,critical account or other credits existing not at this bank,business,2442,less than 100,greater than 7 years,4,male-single,none,4,car or other,43,stores,own,4,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
891,no checking account,15,critical account or other credits existing not at this bank,television,1829,less than 100,greater than 7 years,4,male-single,none,4,car or other,46,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
892,less than 0,12,critical account or other credits existing not at this bank,new car,2171,less than 100,1-4 years,4,male-single,none,4,life insurance,38,bank,own,2,unskilled,1,none,no,1
893,0-200,36,critical account or other credits existing not at this bank,used car,5800,less than 100,1-4 years,3,male-single,none,4,car or other,34,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
894,no checking account,18,critical account or other credits existing not at this bank,television,1169,unknown or no savings account,1-4 years,4,male-single,none,3,life insurance,29,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
895,no checking account,36,delay in paying off in the past,used car,8947,unknown or no savings account,4-7 years,3,male-single,none,2,car or other,31,stores,own,1,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
896,less than 0,21,existing credits paid back duly till now,television,2606,less than 100,less than 1 year,4,female-divorced_married_or_single,none,4,life insurance,28,none,rent,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
897,no checking account,12,critical account or other credits existing not at this bank,furniture,1592,greater than 1000,4-7 years,3,female-divorced_married_or_single,none,2,life insurance,35,none,own,1,skilled employee,1,none,no,1
898,no checking account,15,existing credits paid back duly till now,furniture,2186,unknown or no savings account,4-7 years,1,female-divorced_married_or_single,none,4,real estate,33,bank,rent,1,unskilled,1,none,yes,1
899,less than 0,18,existing credits paid back duly till now,furniture,4153,less than 100,1-4 years,2,male-single,co-applicant,3,car or other,42,none,own,1,skilled employee,1,none,yes,2
900,less than 0,16,critical account or other credits existing not at this bank,new car,2625,less than 100,greater than 7 years,2,male-single,guarantor,4,life insurance,43,bank,rent,1,skilled employee,1,"yes, registered under the customer name",yes,2
901,no checking account,20,critical account or other credits existing not at this bank,new car,3485,unknown or no savings account,less than 1 year,2,male-divorced,none,4,real estate,44,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
902,no checking account,36,critical account or other credits existing not at this bank,used car,10477,unknown or no savings account,greater than 7 years,2,male-single,none,4,unknown,42,none,for free,2,skilled employee,1,none,yes,1
903,no checking account,15,existing credits paid back duly till now,television,1386,unknown or no savings account,1-4 years,4,male-married_widowed,none,2,real estate,40,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
904,no checking account,24,existing credits paid back duly till now,television,1278,less than 100,greater than 7 years,4,male-single,none,1,real estate,36,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
905,less than 0,12,existing credits paid back duly till now,television,1107,less than 100,1-4 years,2,male-single,none,2,real estate,20,none,rent,1,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
906,less than 0,21,existing credits paid back duly till now,new car,3763,unknown or no savings account,4-7 years,2,male-single,co-applicant,2,real estate,24,none,own,1,unskilled,1,none,no,1
907,0-200,36,existing credits paid back duly till now,education,3711,unknown or no savings account,1-4 years,2,male-married_widowed,none,2,car or other,27,none,own,1,skilled employee,1,none,yes,1
908,no checking account,15,delay in paying off in the past,used car,3594,less than 100,less than 1 year,1,female-divorced_married_or_single,none,2,life insurance,46,none,own,2,unskilled,1,none,yes,1
909,0-200,9,existing credits paid back duly till now,new car,3195,unknown or no savings account,1-4 years,1,female-divorced_married_or_single,none,2,real estate,33,none,own,1,unskilled,1,none,yes,1
910,no checking account,36,delay in paying off in the past,television,4454,less than 100,1-4 years,4,female-divorced_married_or_single,none,4,real estate,34,none,own,2,skilled employee,1,none,yes,1
911,0-200,24,critical account or other credits existing not at this bank,furniture,4736,less than 100,less than 1 year,2,female-divorced_married_or_single,none,4,car or other,25,bank,own,1,unskilled,1,none,yes,2
912,0-200,30,existing credits paid back duly till now,television,2991,unknown or no savings account,greater than 7 years,2,female-divorced_married_or_single,none,4,car or other,25,none,own,1,skilled employee,1,none,yes,1
913,no checking account,11,existing credits paid back duly till now,business,2142,greater than 1000,greater than 7 years,1,male-divorced,none,2,real estate,28,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
914,less than 0,24,all credits at this bank paid back duly,business,3161,less than 100,1-4 years,4,male-single,none,2,life insurance,31,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,2
